,matches,company_number,address,links,snippet,description_identifier,description,kind,company_type,company_status,address_snippet,title,date_of_creation,date_of_cessation
24,"{'title': [1, 5], 'snippet': []}",13767918,"{'address_line_1': 'Drury Lane 4th Floor', 'premises': '55', 'country': 'United Kingdom', 'locality': 'London', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
25,"{'title': [1, 5], 'snippet': []}",11894148,"{'country': 'England', 'premises': '55 ', 'address_line_1': 'Drury Lane', 'address_line_2': '4th Floor', 'postal_code': 'WC2B 5SQ', 'locality': 'London'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
26,"{'snippet': [], 'title': [1, 5]}",08112276,"{'address_line_1': 'Berkeley Square', 'premises': '25 ', 'locality': 'London', 'postal_code': 'W1J 6HN'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
27,"{'title': [1, 5], 'snippet': []}",08787921,"{'locality': 'London', 'postal_code': 'W1J 6HN', 'address_line_1': 'Berkeley Square', 'country': 'England', 'premises': '25 '}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
28,"{'title': [1, 5], 'snippet': [1, 5]}",03576013,"{'locality': 'London', 'address_line_2': '4th Floor', 'postal_code': 'WC2B 5SQ', 'address_line_1': 'Drury Lane', 'country': 'England', 'premises': '55'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
29,"{'snippet': [1, 5], 'title': [1, 5]}",07547510,"{'address_line_2': '4th Floor', 'postal_code': 'WC2B 5SQ', 'locality': 'London', 'country': 'England', 'premises': '55', 'address_line_1': 'Drury Lane'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
30,"{'snippet': [], 'title': [1, 5]}",08198098,"{'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor', 'locality': 'London', 'premises': '55', 'country': 'England', 'address_line_1': 'Drury Lane'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
31,"{'title': [1, 5], 'snippet': []}",13767918,"{'locality': 'London', 'postal_code': 'WC2B 5SQ', 'address_line_1': 'Drury Lane 4th Floor', 'premises': '55', 'country': 'United Kingdom'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
32,"{'title': [1, 5], 'snippet': []}",11894148,"{'locality': 'London', 'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor', 'address_line_1': 'Drury Lane', 'premises': '55 ', 'country': 'England'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
33,"{'title': [1, 5], 'snippet': []}",08112276,"{'address_line_1': 'Berkeley Square', 'premises': '25 ', 'locality': 'London', 'postal_code': 'W1J 6HN'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
34,"{'title': [1, 5], 'snippet': []}",08787921,"{'postal_code': 'W1J 6HN', 'locality': 'London', 'country': 'England', 'premises': '25 ', 'address_line_1': 'Berkeley Square'}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
35,"{'snippet': [1, 5], 'title': [1, 5]}",03576013,"{'postal_code': 'WC2B 5SQ', 'country': 'England', 'locality': 'London', 'premises': '55', 'address_line_1': 'Drury Lane', 'address_line_2': '4th Floor'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
36,"{'snippet': [1, 5], 'title': [1, 5]}",07547510,"{'address_line_2': '4th Floor', 'postal_code': 'WC2B 5SQ', 'country': 'England', 'address_line_1': 'Drury Lane', 'locality': 'London', 'premises': '55'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
37,"{'snippet': [], 'title': [1, 5]}",08198098,"{'address_line_2': '4th Floor', 'address_line_1': 'Drury Lane', 'locality': 'London', 'premises': '55', 'postal_code': 'WC2B 5SQ', 'country': 'England'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
